Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE931225490034;SMAREG 7 GmbH & Co. KG;SMAREG7 Monheim;86653;Monheim;Am Sendle;22;Bayern;Deutschland;2024;;InBetrieb;Batteriespeicher;;Nein;Nein;12;12;Batterie;Volleinspeisung;Mittelspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE936112096313;SWISS KRONO TEX;BHKW;16909;Heiligengrabe;Wittstocker Chaussee;1;Brandenburg;Deutschland;2016;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;1,999;1,957;Verbrennungsmotor;None;UmspannungZurMittelspannung;E.DIS Netz GmbH (SNB941690671609);Nein;
Einzelanlage;SEE980823248912;Kelheim Fibres GmbH;Turbine 7;93309;Kelheim;Regensburger Stra?e;109;Bayern;Deutschland;2014;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;28,028;25,929;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;STADTWERKE KELHEIM GmbH & Co KG (SNB965500640463);Nein;
Einzelanlage;SEE982512881400;Stadtwerke Augsburg Energie GmbH;HKW, Dampfturbine 2;86152;Augsburg;Franziskanergasse;9;Bayern;Deutschland;1976;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;20,9;20,4;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;swa Netze GmbH (SNB958077102830);Nein;
Einzelanlage;SEE962922475031;LEW Wasserkraft;Meitingen M2;86405;Meitingen;Bernhard-Monath-Stra?e;46;Bayern;Deutschland;1922;;InBetrieb;Wasser;;Nein;Ja;4,21;4,2;Laufwasseranlage;Volleinspeisung;Mittelspannung;LEW Verteilnetz GmbH (SNB911705062982);Nein;
Einzelanlage;SEE964117025212;Innwerk AG;Kraftwerk Ering-Frauenstein MS1;94140;Ering;Innwerkstra?e;38;Bayern;Deutschland;1942;;InBetrieb;Wasser;;Nein;Ja;24,3;24,3;Laufwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Ja;
Einzelanlage;SEE968905685947;ENGIE Deutschland GmbH;SEDE607510037;07549;Gera;Vogtlandstra?e;11;Thueringen;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;4,404;4,387;Verbrennungsmotor;Volleinspeisung;Mittelspannung;GeraNetz GmbH (SNB948816192529);Nein;
Einzelanlage;SEE969078917545;Innwerk AG;Kraftwerk Ering-Frauenstein MS3;94140;Ering;Innwerkstra?e;38;Bayern;Deutschland;1942;;InBetrieb;Wasser;;Nein;Ja;24,3;24,3;Laufwasseranlage;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Ja;
Einzelanlage;SEE935602197158;DB Energie GmbH;Saalachkraftwerk E3;83435;Bad Reichenhall;Thumseestra?e;25;Bayern;Deutschland;1914;;InBetrieb;Wasser;;Nein;Ja;1,28;1,28;Laufwasseranlage;Volleinspeisung;Hochspannung;DB Energie GmbH (Bahnstromnetz 16,7 Hz) (SNB942182027607);Nein;
Einzelanlage;SEE937849602679;RWE Generation Hydro GmbH;Detzem Maschine 1;54340;Detzem;Am Moselufer;1;RheinlandPfalz;Deutschland;1962;;InBetrieb;Wasser;;Nein;Ja;6;6;Laufwasseranlage;Volleinspeisung;UmspannungZurMittelspannung;Westnetz GmbH (SNB921897286493);Nein;
