ort,landkreis,plz,Bundesland,Paragraph,Revier
Werben,Landkreis Spree-Neiße,03096,Brandenburg,§2,Lausitzer Braunkohlerevier
Wermsdorf,Landkreis Nordsachsen,04779,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Werne,Kreis Unna,59368,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Wesseling,Rhein-Erft-Kreis,50389,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Wethau,Burgenlandkreis,06618,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Wetterzeube,Burgenlandkreis,06722,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Wettin-Löbejün,Saalekreis,06193,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Wiedemar,Landkreis Nordsachsen,04509,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Wiendorf,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wiesengrund,Landkreis Spree-Neiße,03149,Brandenburg,§2,Lausitzer Braunkohlerevier
Wildau,Landkreis Dahme-Spreewald,15745,Brandenburg,§2,Lausitzer Braunkohlerevier
Wilthen,Landkreis Bautzen,02681,Sachsen,§2,Lausitzer Braunkohlerevier
Wimmelburg,Landkreis Mansfeld-Südharz,06313,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Windischleuba,Landkreis Altenburger Land,04603,Thüringen,§11/12,Steinkohlenbergbaugebiete
Wittenbeck,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Wittichenau - Kulow,Landkreis Bautzen,02997,Sachsen,§2,Lausitzer Braunkohlerevier
Wolsdorf,Landkreis Helmstedt,38379,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Würselen,Städteregion Aachen,52146,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Wurzen,Landkreis Leipzig,04808,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Zarnewanz,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Zehna,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Zeitz,Burgenlandkreis,06711,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Zeitz,Burgenlandkreis,06712,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Zepelin,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Zerbst/Anhalt,Landkreis Anhalt-Bitterfeld,39261,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Zerbst/Anhalt,Landkreis Anhalt-Bitterfeld,39264,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Zeuthen,Landkreis Dahme-Spreewald,15738,Brandenburg,§2,Lausitzer Braunkohlerevier
Ziesendorf,Landkreis Rostock,18059,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Zittau,Landkreis Görlitz,02763,Sachsen,§2,Lausitzer Braunkohlerevier
Zittau,Landkreis Görlitz,02788,Sachsen,§2,Lausitzer Braunkohlerevier
Zörbig,Landkreis Anhalt-Bitterfeld,06780,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Zschepplin,Landkreis Nordsachsen,04838,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Zülpich,Kreis Euskirchen,53909,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Zwenkau,Landkreis Leipzig,04442,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03042,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03044,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03046,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03048,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03050,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03051,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03052,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03053,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03054,Brandenburg,§2,Lausitzer Braunkohlerevier
Cottbus - Chóśebuz,Cottbus - Chóśebuz,03055,Brandenburg,§2,Lausitzer Braunkohlerevier
Duisburg,Duisburg,47051,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47053,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47055,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47057,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47058,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47059,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47119,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47137,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Duisburg,Duisburg,47138,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
