ort,landkreis,plz,Bundesland,Paragraph,Revier
Hergisdorf,Landkreis Mansfeld-Südharz,06313,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Hermsdorf,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Herrnhut,Landkreis Görlitz,02747,Sachsen,§2,Lausitzer Braunkohlerevier
Herzberg (Elster),Landkreis Elbe-Elster,04916,Brandenburg,§2,Lausitzer Braunkohlerevier
Herzogenrath,Städteregion Aachen,52134,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Hettstedt,Landkreis Mansfeld-Südharz,06333,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Heukewalde,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Heusweiler,Regionalverband Saarbrücken,66265,Saarland,§11/12,Steinkohlenbergbaugebiete
Heyersdorf,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Hirschfeld,Landkreis Elbe-Elster,04932,Brandenburg,§2,Lausitzer Braunkohlerevier
Hochkirch - Bukecy,Landkreis Bautzen,02627,Sachsen,§2,Lausitzer Braunkohlerevier
Hohenbocka,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Hohenbucko,Landkreis Elbe-Elster,04936,Brandenburg,§2,Lausitzer Braunkohlerevier
Hohen Demzin,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Hohendubrau - Wysoka Dubrawa,Landkreis Görlitz,02906,Sachsen,§2,Lausitzer Braunkohlerevier
Hohenfelde,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Hohenfelde,Landkreis Rostock,18211,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Hohenleipisch,Landkreis Elbe-Elster,04934,Brandenburg,§2,Lausitzer Braunkohlerevier
Hohenmölsen,Burgenlandkreis,06679,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Hohen Sprenz,Landkreis Rostock,18299,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Holzwickede,Kreis Unna,59439,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Hoppenrade,Landkreis Rostock,18292,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Horka,Landkreis Görlitz,02923,Sachsen,§2,Lausitzer Braunkohlerevier
Hoyerswerda - Wojerecy,Landkreis Bautzen,02977,Sachsen,§2,Lausitzer Braunkohlerevier
Hückelhoven,Kreis Heinsberg,41836,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Hürtgenwald,Kreis Düren,52393,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Hürth,Rhein-Erft-Kreis,50354,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Inden,Kreis Düren,52459,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Jamlitz,Landkreis Dahme-Spreewald,15868,Brandenburg,§2,Lausitzer Braunkohlerevier
Jämlitz-Klein Düben,Landkreis Spree-Neiße,03130,Brandenburg,§2,Lausitzer Braunkohlerevier
Jänschwalde,Landkreis Spree-Neiße,03172,Brandenburg,§2,Lausitzer Braunkohlerevier
Jänschwalde,Landkreis Spree-Neiße,03197,Brandenburg,§2,Lausitzer Braunkohlerevier
Jerxheim,Landkreis Helmstedt,38381,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Jesewitz,Landkreis Nordsachsen,04838,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Jonaswalde,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Jonsdorf,Landkreis Görlitz,02796,Sachsen,§2,Lausitzer Braunkohlerevier
Jördenstorf,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Jüchen,Rhein-Kreis Neuss,41363,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Jülich,Kreis Düren,52428,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Jürgenshagen,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kaarst,Rhein-Kreis Neuss,41564,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kabelsketal,Saalekreis,06184,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kaiserpfalz,Burgenlandkreis,06642,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kall,Kreis Euskirchen,53925,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kamen,Kreis Unna,59174,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Kamenz - Kamjenc,Landkreis Bautzen,01917,Sachsen,§2,Lausitzer Braunkohlerevier
Karsdorf,Burgenlandkreis,06638,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kasel-Golzig,Landkreis Dahme-Spreewald,15938,Brandenburg,§2,Lausitzer Braunkohlerevier
Kassow,Landkreis Rostock,18258,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kelbra (Kyffhäuser),Landkreis Mansfeld-Südharz,06537,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kerpen,Rhein-Erft-Kreis,50169,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kerpen,Rhein-Erft-Kreis,50170,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kerpen,Rhein-Erft-Kreis,50171,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kitzscher,Landkreis Leipzig,04567,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Klein Belitz,Landkreis Rostock,18246,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kleinblittersdorf,Regionalverband Saarbrücken,66271,Saarland,§11/12,Steinkohlenbergbaugebiete
Klein Upahl,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Klostermansfeld,Landkreis Mansfeld-Südharz,06308,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kodersdorf,Landkreis Görlitz,02923,Sachsen,§2,Lausitzer Braunkohlerevier
Kolkwitz,Landkreis Spree-Neiße,03099,Brandenburg,§2,Lausitzer Braunkohlerevier
Königsbrück,Landkreis Bautzen,01936,Sachsen,§2,Lausitzer Braunkohlerevier
Königshain,Landkreis Görlitz,02829,Sachsen,§2,Lausitzer Braunkohlerevier
Königslutter am Elm,Landkreis Helmstedt,38154,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Königswartha - Rakecy,Landkreis Bautzen,02699,Sachsen,§2,Lausitzer Braunkohlerevier
Königs Wusterhausen,Landkreis Dahme-Spreewald,15711,Brandenburg,§2,Lausitzer Braunkohlerevier
Königs Wusterhausen,Landkreis Dahme-Spreewald,15712,Brandenburg,§2,Lausitzer Braunkohlerevier
Königs Wusterhausen,Landkreis Dahme-Spreewald,15713,Brandenburg,§2,Lausitzer Braunkohlerevier
Korschenbroich,Rhein-Kreis Neuss,41352,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Köthen (Anhalt),Landkreis Anhalt-Bitterfeld,06366,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Köthen (Anhalt),Landkreis Anhalt-Bitterfeld,06369,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Köthen (Anhalt),Landkreis Anhalt-Bitterfeld,06388,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kottmar,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Kottmar,Landkreis Görlitz,02739,Sachsen,§2,Lausitzer Braunkohlerevier
Krakow am See,Landkreis Rostock,18292,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Krauschwitz - Krušwica,Landkreis Görlitz,02957,Sachsen,§2,Lausitzer Braunkohlerevier
Krausnick-Groß Wasserburg,Landkreis Dahme-Spreewald,15910,Brandenburg,§2,Lausitzer Braunkohlerevier
Kreba-Neudorf - Chrjebja-Nowa Wjes,Landkreis Görlitz,02906,Sachsen,§2,Lausitzer Braunkohlerevier
Kremitzaue,Landkreis Elbe-Elster,04916,Brandenburg,§2,Lausitzer Braunkohlerevier
Kremitzaue,Landkreis Elbe-Elster,04936,Brandenburg,§2,Lausitzer Braunkohlerevier
Kretzschau,Burgenlandkreis,06712,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Kreuzau,Kreis Düren,52372,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Kriebitzsch,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Kritzmow,Landkreis Rostock,18198,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kröpelin,Landkreis Rostock,18236,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kroppen,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Krostitz,Landkreis Nordsachsen,04509,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Kubschütz - Kubšicy,Landkreis Bautzen,02627,Sachsen,§2,Lausitzer Braunkohlerevier
Kuchelmiß,Landkreis Rostock,18292,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kühlungsborn,Landkreis Rostock,18225,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Kuhs,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Laage,Landkreis Rostock,18299,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Lalendorf,Landkreis Rostock,18279,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Lambrechtshagen,Landkreis Rostock,18069,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Landsberg,Saalekreis,06188,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Langenleuba-Niederhain,Landkreis Altenburger Land,04618,Thüringen,§11/12,Steinkohlenbergbaugebiete
Langerwehe,Kreis Düren,52379,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Lanitz-Hassel-Tal,Burgenlandkreis,06628,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Laucha an der Unstrut,Burgenlandkreis,06636,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Lauchhammer,Landkreis Oberspreewald-Lausitz,01979,Brandenburg,§2,Lausitzer Braunkohlerevier
Laußig,Landkreis Nordsachsen,04838,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Laußig,Landkreis Nordsachsen,04849,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Laußnitz,Landkreis Bautzen,01936,Sachsen,§2,Lausitzer Braunkohlerevier
Lauta,Landkreis Bautzen,02991,Sachsen,§2,Lausitzer Braunkohlerevier
Lawalde,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Lebach,Landkreis Saarlouis,66822,Saarland,§11/12,Steinkohlenbergbaugebiete
Lebusa,Landkreis Elbe-Elster,04936,Brandenburg,§2,Lausitzer Braunkohlerevier
Lehre,Landkreis Helmstedt,38165,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Lelkendorf,Landkreis Rostock,17168,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Leuna,Saalekreis,06237,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Leutersdorf,Landkreis Görlitz,02794,Sachsen,§2,Lausitzer Braunkohlerevier
Lichtenberg,Landkreis Bautzen,01896,Sachsen,§2,Lausitzer Braunkohlerevier
Lichterfeld-Schacksdorf,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Lieberose,Landkreis Dahme-Spreewald,15868,Brandenburg,§2,Lausitzer Braunkohlerevier
Liebschützberg,Landkreis Nordsachsen,04758,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Lindenau,Landkreis Oberspreewald-Lausitz,01945,Brandenburg,§2,Lausitzer Braunkohlerevier
Linnich,Kreis Düren,52441,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Löbau,Landkreis Görlitz,02708,Sachsen,§2,Lausitzer Braunkohlerevier
Löbichau,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Löbnitz,Landkreis Nordsachsen,04509,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Lödla,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Lohmen,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Lohsa - Łaz,Landkreis Bautzen,02999,Sachsen,§2,Lausitzer Braunkohlerevier
Lossatal,Landkreis Leipzig,04808,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Lübbenau/Spreewald,Landkreis Oberspreewald-Lausitz,03222,Brandenburg,§2,Lausitzer Braunkohlerevier
Lübben (Spreewald),Landkreis Dahme-Spreewald,15907,Brandenburg,§2,Lausitzer Braunkohlerevier
Lucka,Landkreis Altenburger Land,04613,Thüringen,§11/12,Steinkohlenbergbaugebiete
Luckaitztal,Landkreis Oberspreewald-Lausitz,03229,Brandenburg,§2,Lausitzer Braunkohlerevier
Luckau,Landkreis Dahme-Spreewald,15926,Brandenburg,§2,Lausitzer Braunkohlerevier
Lünen,Kreis Unna,44532,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Lünen,Kreis Unna,44534,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Lünen,Kreis Unna,44536,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
Lüssow,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Lutherstadt Eisleben,Landkreis Mansfeld-Südharz,06295,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Lützen,Burgenlandkreis,06686,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Machern,Landkreis Leipzig,04827,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Malschwitz - Malešecy,Landkreis Bautzen,02694,Sachsen,§2,Lausitzer Braunkohlerevier
Mansfeld,Landkreis Mansfeld-Südharz,06343,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mariental,Landkreis Helmstedt,38368,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
Markersdorf,Landkreis Görlitz,02829,Sachsen,§2,Lausitzer Braunkohlerevier
Märkisch Buchholz,Landkreis Dahme-Spreewald,15748,Brandenburg,§2,Lausitzer Braunkohlerevier
Märkische Heide,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Markkleeberg,Landkreis Leipzig,04416,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Markranstädt,Landkreis Leipzig,04420,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Massen-Niederlausitz,Landkreis Elbe-Elster,03238,Brandenburg,§2,Lausitzer Braunkohlerevier
Massen-Niederlausitz,Landkreis Elbe-Elster,03246,Brandenburg,§2,Lausitzer Braunkohlerevier
Mechernich,Kreis Euskirchen,53894,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Meerbusch,Rhein-Kreis Neuss,40667,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Meerbusch,Rhein-Kreis Neuss,40668,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Meerbusch,Rhein-Kreis Neuss,40670,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Mehna,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
Meineweh,Burgenlandkreis,06721,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Merseburg,Saalekreis,06217,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mertendorf,Burgenlandkreis,06618,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Merzdorf,Landkreis Elbe-Elster,04932,Brandenburg,§2,Lausitzer Braunkohlerevier
Merzenich,Kreis Düren,52399,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Meuselwitz,Landkreis Altenburger Land,04610,Thüringen,§11/12,Steinkohlenbergbaugebiete
Mistorf,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Mittelherwigsdorf,Landkreis Görlitz,02763,Sachsen,§2,Lausitzer Braunkohlerevier
Mittenwalde,Landkreis Dahme-Spreewald,15749,Brandenburg,§2,Lausitzer Braunkohlerevier
Mockrehna,Landkreis Nordsachsen,04862,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Molauer Land,Burgenlandkreis,06618,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mönchhagen,Landkreis Rostock,18182,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Monschau,Städteregion Aachen,52156,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Monstab,Landkreis Altenburger Land,04617,Thüringen,§11/12,Steinkohlenbergbaugebiete
Mücheln (Geiseltal),Saalekreis,06249,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mücheln (Geiseltal),Saalekreis,06255,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mücheln (Geiseltal),Saalekreis,06268,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mücheln (Geiseltal),Saalekreis,06632,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Mücka - Mikow,Landkreis Görlitz,02906,Sachsen,§2,Lausitzer Braunkohlerevier
Mügeln,Landkreis Nordsachsen,04769,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Mühlberg/Elbe,Landkreis Elbe-Elster,04895,Brandenburg,§2,Lausitzer Braunkohlerevier
Mühlberg/Elbe,Landkreis Elbe-Elster,04931,Brandenburg,§2,Lausitzer Braunkohlerevier
Mühl Rosin,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Muldestausee,Landkreis Anhalt-Bitterfeld,06774,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Münchehofe,Landkreis Dahme-Spreewald,15748,Brandenburg,§2,Lausitzer Braunkohlerevier
Nalbach,Landkreis Saarlouis,66809,Saarland,§11/12,Steinkohlenbergbaugebiete
Naumburg (Saale),Burgenlandkreis,06618,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Naumburg (Saale),Burgenlandkreis,06628,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Naundorf,Landkreis Nordsachsen,04769,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Naunhof,Landkreis Leipzig,04683,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Nebelschütz - Njebjelčicy,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Nebra (Unstrut),Burgenlandkreis,06642,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Neißeaue,Landkreis Görlitz,02829,Sachsen,§2,Lausitzer Braunkohlerevier
Neiße-Malxetal,Landkreis Spree-Neiße,03159,Brandenburg,§2,Lausitzer Braunkohlerevier
Nemsdorf-Göhrendorf,Saalekreis,06268,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Neschwitz - Njeswačidło,Landkreis Bautzen,02699,Sachsen,§2,Lausitzer Braunkohlerevier
Nettersheim,Kreis Euskirchen,53947,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neubukow,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Neuhausen/Spree,Landkreis Spree-Neiße,03058,Brandenburg,§2,Lausitzer Braunkohlerevier
Neukieritzsch,Landkreis Leipzig,04575,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Neukirch,Landkreis Bautzen,01936,Sachsen,§2,Lausitzer Braunkohlerevier
Neukirch/Lausitz,Landkreis Bautzen,01904,Sachsen,§2,Lausitzer Braunkohlerevier
Neupetershain,Landkreis Oberspreewald-Lausitz,03103,Brandenburg,§2,Lausitzer Braunkohlerevier
Neusalza-Spremberg,Landkreis Görlitz,02742,Sachsen,§2,Lausitzer Braunkohlerevier
Neu-Seeland,Landkreis Oberspreewald-Lausitz,03103,Brandenburg,§2,Lausitzer Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41460,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41462,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41464,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41466,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41468,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41469,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41470,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neuss,Rhein-Kreis Neuss,41472,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Neu Zauche,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Nideggen,Kreis Düren,52385,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Niederzier,Kreis Düren,52382,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Nienhagen,Landkreis Rostock,18211,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Niesky,Landkreis Görlitz,02906,Sachsen,§2,Lausitzer Braunkohlerevier
Nobitz,Landkreis Altenburger Land,04603,Thüringen,§11/12,Steinkohlenbergbaugebiete
Nörvenich,Kreis Düren,52388,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Nustrow,Landkreis Rostock,18195,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Obergurig - Hornja Hórka,Landkreis Bautzen,02692,Sachsen,§2,Lausitzer Braunkohlerevier
Obhausen,Saalekreis,06268,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Oderwitz,Landkreis Görlitz,02791,Sachsen,§2,Lausitzer Braunkohlerevier
Ohorn,Landkreis Bautzen,01896,Sachsen,§2,Lausitzer Braunkohlerevier
Olbersdorf,Landkreis Görlitz,02785,Sachsen,§2,Lausitzer Braunkohlerevier
Oppach,Landkreis Görlitz,02736,Sachsen,§2,Lausitzer Braunkohlerevier
Ortrand,Landkreis Oberspreewald-Lausitz,01990,Brandenburg,§2,Lausitzer Braunkohlerevier
Oschatz,Landkreis Nordsachsen,04758,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Oßling - Wóslink,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Osterfeld,Burgenlandkreis,06721,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Osternienburger Land,Landkreis Anhalt-Bitterfeld,06386,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Ostritz,Landkreis Görlitz,02899,Sachsen,§2,Lausitzer Braunkohlerevier
Ottendorf-Okrilla,Landkreis Bautzen,01458,Sachsen,§2,Lausitzer Braunkohlerevier
Otterwisch,Landkreis Leipzig,04668,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Oybin,Landkreis Görlitz,02797,Sachsen,§2,Lausitzer Braunkohlerevier
Panschwitz-Kuckau - Pančicy-Kukow,Landkreis Bautzen,01920,Sachsen,§2,Lausitzer Braunkohlerevier
Papendorf,Landkreis Rostock,18059,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Parthenstein,Landkreis Leipzig,04668,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Pegau,Landkreis Leipzig,04523,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Peitz,Landkreis Spree-Neiße,03185,Brandenburg,§2,Lausitzer Braunkohlerevier
Penzin,Landkreis Rostock,18249,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Petersberg,Saalekreis,06193,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Plaaz,Landkreis Rostock,18276,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Plessa,Landkreis Elbe-Elster,04928,Brandenburg,§2,Lausitzer Braunkohlerevier
Pölchow,Landkreis Rostock,18059,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Ponitz,Landkreis Altenburger Land,04639,Thüringen,§11/12,Steinkohlenbergbaugebiete
Poppendorf,Landkreis Rostock,18184,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Posterstein,Landkreis Altenburger Land,04626,Thüringen,§11/12,Steinkohlenbergbaugebiete
