nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE963285712320,ABR938933890415,Solareinheit,SP Rehfeld PV1,Volleinspeisung,10300,04895,Elbe-Elster,Rehfeld,NA,NA,Brandenburg,13.185,51.5815,2026,NA,FALSE,Freiflächensolaranlage,NA,NA,NA
SEE971241892337,ABR938933890415,Solareinheit,SP Rehfeld PV2,Volleinspeisung,12290.36,04895,Elbe-Elster,Rehfeld,NA,NA,Brandenburg,13.185,51.5815,2026,NA,FALSE,Freiflächensolaranlage,NA,NA,NA
SEE998647741748,ABR922192234677,Solareinheit,PVA Harbke 0825,Volleinspeisung,18377,39365,Börde,Harbke,NA,NA,Sachsen-Anhalt,11.02218,52.18322,2025,NA,FALSE,Freiflächensolaranlage,29403,NA,NA
SEE944644876686,ABR955898705431,Solareinheit,sDie1 - Dietfurt Mallerstetten,Volleinspeisung,11098,92345,Neumarkt i.d. OPf.,Dietfurt,NA,NA,Bayern,11.55509,49.04972,2025,NA,FALSE,Freiflächensolaranlage,18045,NA,NA
SEE933715371328,ABR923199553242,Solareinheit,"Rodenkichen Flur 9 314/3, 315/3, 799/313, 321/1",Volleinspeisung,11928,26935,Wesermarsch,Stadland,NA,NA,Niedersachsen,8.447671,53.380072,2026,NA,FALSE,Freiflächensolaranlage,16800,NA,NA
SEE956332753926,ABR979677398973,Solareinheit,Freienwill Ib,Volleinspeisung,13570.8,24991,Schleswig-Flensburg,Freienwill,NA,NA,Schleswig-Holstein,9.5176,54.7349,2025,NA,FALSE,Freiflächensolaranlage,22656,NA,NA
SEE918193103616,ABR948815577587,Solareinheit,PV Suderburg,Volleinspeisung,21200,29556,Uelzen,Suderburg,NA,NA,Niedersachsen,10.397715,52.878586,2027,NA,FALSE,Freiflächensolaranlage,NA,NA,NA
SEE975422008456,ABR914172873976,Solareinheit,Solarpark Eichberg-Lindenberg,Volleinspeisung,10540,29664,Heidekreis,Walsrode,NA,NA,Niedersachsen,9.583001,52.84063,2026,NA,FALSE,Freiflächensolaranlage,NA,NA,NA
SEE935427860503,ABR967493110473,Solareinheit,Solarpark Froerup PR - P24-096 - Teil 16.000 kWp SOL22-3/085,Volleinspeisung,16000,24988,Schleswig-Flensburg,Oeversee,NA,NA,Schleswig-Holstein,9.403068,54.686882,2025,NA,FALSE,Freiflächensolaranlage,27350,NA,NA
SEE902706561017,ABR982373184894,Solareinheit,Solarpark Neutz-Lettewitz - P20-094 - Teil 20.000 kWp SOL23-2/032,Volleinspeisung,20000,06193,Saalekreis,Petersberg,NA,NA,Sachsen-Anhalt,11.871718,51.589454,2025,NA,FALSE,Freiflächensolaranlage,34188,NA,NA
