nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE928263467494,016 BHKW Modul 2,Universitätsklinikum Bonn,Erdgas,ErdgasErdoelgas,2.05,2.05,2016,TeileinspeisungEigenverbrauch,53127,Bonn,Venusberg-Campus,1,NordrheinWestfalen,FALSE,NA,NA
SEE932773773501,ZF-FRD-W04-G32-Prüfstand-A05,ZF Friedrichshafen AG,Mineraloelprodukte,Dieselkraftstoff,1.672,1.672,2019,TeileinspeisungEigenverbrauch,88046,Friedrichshafen,Graf-von-Soden-Platz,1,BadenWuerttemberg,FALSE,NA,NA
SEE922914399295,Mercer Rosenthal,Mercer Rosenthal GmbH,Biomasse,NA,57.235,53.1,1999,TeileinspeisungEigenverbrauch,07366,Rosenthal,Hauptstraße,16,Thueringen,FALSE,NA,NA
SEE923244371197,Heizkraftwerk Leipzig Nord GT81,Stadtwerke Leipzig GmbH,Erdgas,None,64.783,63.54,1996,TeileinspeisungEigenverbrauch,04105,Leipzig,Eutritzscher Straße,14 b,Sachsen,FALSE,NA,NA
SEE924756001060,BioHKW I,Fernwärme Ulm GmbH,Biomasse,NA,9.6,8.6,2004,Volleinspeisung,89077,Ulm,Magirusstraße,21,BadenWuerttemberg,FALSE,NA,NA
SEE925723270861,HDH_004_Industrieheizkraftwerk-Heidenheim_GM1,J. M. Voith SE & Co. KG,Erdgas,ErdgasErdoelgas,4.401,4.225,2014,TeileinspeisungEigenverbrauch,89522,Heidenheim,Alexanderstraße,8,BadenWuerttemberg,FALSE,NA,NA
SEE929967552172,KW Wehr MS A9,Schluchseewerk AG,Pumpspeicher,NA,227.5,227.5,1975,None,79664,Wehr,Todtmooser Straße,150,BadenWuerttemberg,FALSE,NA,NA
SEE936443066245,Müllheizkraftwerk Ulm-Donautal Turbine,Zweckverband Thermische Abfallverwertung Donautal,Abfall,AbfallHausmuellSiedlungsabfaelle,11,8.7,1997,TeileinspeisungEigenverbrauch,89079,Ulm,Siemensstraße,1,BadenWuerttemberg,FALSE,NA,NA
SEE957253837467,KW Waldshut MS A6,Schluchseewerk AG,Pumpspeicher,NA,44,44,1952,None,79761,Waldshut-Tiengen,Kraftwerkstraße,13,BadenWuerttemberg,FALSE,NA,NA
SEE960175509510,BHKW Hastedt Motor 07,swb Erzeugung AG & Co. KG,Erdgas,ErdgasErdoelgas,11.8096,11.6794,2022,TeileinspeisungEigenverbrauch,28207,Bremen,Hastedter Osterdeich,255,Bremen,FALSE,NA,NA
SEE963192915654,"HKW Pfaffenwald, Generator 43",Universität Stuttgart,Waerme,Dampf,2.6,2.4,1963,TeileinspeisungEigenverbrauch,70569,Stuttgart,Pfaffenwaldring,8,BadenWuerttemberg,FALSE,NA,NA
SEE964170331206,MHKW Coburg,Zweckverband für Abfallwirtschaft in Nordwest-Oberfranken,Abfall,AbfallHausmuellSiedlungsabfaelle,10.6,10.6,1988,TeileinspeisungEigenverbrauch,96450,Coburg,Glender Straße,30,Bayern,FALSE,NA,NA
